$	dólar
currículo	plan_de_estudios programa
cursar	despachar enviar estudiar expedir mandar remitir
cursi	delicado fino
curso	camino clase corriente dirección línea rumbo sentido trayectoria
curtir	broncearse oscurecer tostar
curvar	doblar torcer
custodia	cuidado
custodiar	guardar proteger resguardar
cálculo	cómputo piedra
cálido	afectuoso amable cariñoso cándido dulce simpático tierno
cámping	campamento camping
cándido	abierto afectuoso amable angelical cariñoso cálido dulce franco honesto ingenuo inocente querúbico simpático tierno
cántaro	jarra
cárcel	abrazadera calabozo gayola gobi penal presidio talego
cáspita	adiós caramba caray demonio demonios diablos
cástigo	venganza vindicación
cáustico	abrasador acre amargo mordaz virulento vitriólico ácido áspero
cáñamo	cannabis chocolate grifa hierba marihuana marijuana maría yerba
cédula	documentación documento
célebre	conocido famoso
célula	pila
césped	champa tepe
cíngaro	calé gitano
círculo	circuito rueda vuelta
cívico	correcto cortés cumplido educado
código	clave
cólera	bilis enojo furia furor ira rabia
cómico	alegre divertido gracioso
cómodo	adiente amplio confortable espacioso práctico útil
cómputo	conteo cuenta cálculo enumeración
cónyugues	matrimonio
cúmulo	acumulación avalancha barbaridad bestialidad burrada cantidad colección conjunto enormidad fajo hatajo hato lote mogollón montones montón multitud pila runfla tanda
cúspide	apogeo auge cima cresta cumbre pico
dadivoso	desprendido espléndido garboso generoso magnánime magnífico pródigo
dado	supuesto
dama	señora
dama_blanca	basuko blanca blanca_nieves coca cocaína farla farlopa harina nieve perica perico polvo
danza	baile
dar	aplicar causar ceder entregar hacer ir llevar ocurrir pasar prestar producir rendir tocar traspasar
dar_a_conocer	mostrar
dar_a_luz	alumbrar parir
dar_asco	asquear rechazar repeler
dar_con	encontrar encontrarse
dar_forma	formar
dar_información	informar
dar_inicio	iniciar
dar_la_bienvenida	recibir
dar_la_invalidez	jubilar
dar_la_tabarra	fastidiar
dar_recuerdos	encomendar
dar_rienda_suelta	desatar
dar_un_bocado	morder
dar_un_tortazo	aporrear golpear tumbar
dar_vueltas	arremolinarse demorarse entretenerse girar pulular quedarse rodar
datar	fechar
dato	datos
datos	dato
dañado	estropeado manchado roto
dañar	herir lastimar ofender romper
dañino	dañoso demolidor destructivo devastador negativo nocivo perjudicial
daño	contusión destrozo herida lesión mal perjuicio trauma
dañoso	dañino nocivo perjudicial
de_facto	real
deambular	pasear vagabundear
debacle	desastre fiasco fracaso
debate	discusión
debatir	discutir
deber	cargo estar_enfermo necesitar obligación padecer requerir responsabilidad tarea tener tener_que
debido	pendiente
debilidad	apocamiento desamparo encogimiento endeblez flaqueza impotencia
debilitado	arrugado débil flojo frágil
debilitar	ablandar agotarse consumir flaquear
debut	introducción lanzamiento presentación
decadencia	caída declinación descenso deterioro hundimiento ruina
decaer	agravar arruinarse decrecer empeorar
decantado	inclinado
decaído	bajo deprimido desalentado
decena	10
decente	acertado adecuado apropiado apto auténtico buen capaz conveniente idóneo indicado visible
decepción	chasco desilusión
deceso	defunción desaparición expiración fallecimiento fenecimiento muerte tránsito óbito
dechado	ejemplar ejemplo modelo perfección ídolo
decidido	atrevido obstinado osado perseverante resuelto valiente
decidir	acordar determinar proponerse resolver
decir	afirmar asegurar comunicar contar declarar exponer hablar informar manifestar presentar proponer
decir_a_gritos	roncar rugir vociferar
decir_verbalmente	expresar
decisivo	alarmante clave crítico definitivo determinante fundamental influyente
decisión	determinación resolución
declamar	leer recitar
declaración	afirmación garantía manifestación
declarado	manifiesto
declarar	adjudicar afirmar alegar decir estimar exponer manifestar presentar proponer revelar
declinación	decadencia deterioro
declinar	bajar empeorar mermar rehusar
declive	bajada descenso inclinación
decoración	adorno
decorado	escenario
decorar	adornar embellecer ornamentar vestir
decorativo	cosmético
decoroso	solemne
decrecer	decaer
decreto	acto auto sentencia
decrépito	débil
decímetro_cúbico	l
dedicación	afán aplicación asiduidad concentración consagración constancia desvelo devoción entrega esfuerzo
dedicado	aplicado diligente
dedicar	consagrar consagrarse
dedo_índice	índice
deducción	consecuencia implicación
deducir	colegir inferir
defecto	deficiencia fallo imperfección mácula tacha tara
defender	abogar apoyar luchar mantener representar respaldar
defendido	acusado demandado procesado
defensa	guardia
defensivo	justificador
defensor	guardián partidario protector
defensor_del_pueblo	ombudsman
deferencia	respeto sumisión
deferir	acceder
deficiencia	carencia carestía defecto escasez fallo imperfección tacha
deficiencia_mental	anormalidad retraso
deficiente	carente inferior insuficiente subestándar
definido	claro definitivo fijo formado iconfundible inconfundible marcado nítido preciso seguro
definir	definirse delimitar
definirse	definir delimitar
definitivo	decisivo definido fijo preciso prescrito seguro
deformación	contorsión torcimiento
defraudar	desbaratar estafar frustrar
defunción	deceso desaparición expiración fallecimiento fenecimiento muerte tránsito óbito
degeneración	corrupción
degenerativo	progresivo
degradación	descenso
deidad	dios divinidad
dejadez	abandono desaliño descuido desidia despreocupación incuria negligencia
dejado	cerdo
dejar	abandonar abstenerse acumular almacenar arrojar_la_toalla atesorar cesar confiar descargar desistir entregar guardar irse largarse marcharse meter parar partir permitir rendirse renunciar retirarse salir terminar
dejar_perplejo	desconcertar
deje	acento
del_este	oriental
del_oeste	occidental
delantera	superioridad ventaja
delantero	anterior
delatar	denunciar traicionar
delegación	comisión comité diputación
deleitar	agradar complacer deleitarse encantar
deleitarse	agradar complacer deleitar disfrutar divertirse encantar gozar
deleite	alegría gozada gozo placer
deleitoso	delicioso
deletereo	mortífero nocivo perjudicial pernicioso venenoso
delgado	delicado esbelto estilizado fino
delgaducho	cadavérico chupado consumido demacrado descarnado enclenque enjuto escuálido esquelético huesudo raquítico seco
deliberación	reflexión
delicadeza	diplomacia discreción fineza finura
delicado	atento considerado cursi delgado dificultoso difícil duro débil enfermizo esbelto estilizado exquisito fino frágil macilento quebradizo refinado sutil
delicioso	deleitoso exquisito sabroso
delimitació	frontera línia_fronterera
delimitar	aislar definir definirse
delincuente	criminal malhechor transgresor
delinear	dibujar trazar
delirio	frenesí histeria histerismo locura
delito_menor	contravención falta infracción ofensa
demacrado	cadavérico chupado consumido delgaducho descarnado enclenque enjuto escuálido esquelético huesudo raquítico seco
demanda	interrogación llamada pregunta
demandado	acusado defendido procesado
demandante	actor actora
demandar	enjuiciar exigir
demasía	desmán excedente exceso plétora remanente sobra sobrante
demente	locatis loco
demoler	abatir caerse derribar derrocar derruir
demolición	derribo derrumbamiento destrucción
demolidor	dañino destructivo devastador negativo
demonio	adiós belcebú caramba caray cáspita demonios diablo diablos espíritu_maligno fiera lucifer luzbel monstruo satanás satán
demonios	adiós caramba caray cáspita demonio diablos
demora	atraso espera retraso
demorar	atrasar
demorarse	dar_vueltas entretenerse pulular quedarse quedarse_atrás
demostración	exposición muestra presentación prueba
demostrar	apuntar certificar corresponder corresponderse ejemplificar enseñar ilustrar manifestar mostrar probar señalar
demás	restante sobrante
demótico	popular
denegación	desestimación rechazamiento rechazo
denominar	describir descubrir designar identificar
denotación	extensión referencia
densidad	concentración
densificar	engrosar engruesar espesar
densificarse	coagular cuajar
denso	apretado compacto concentrado condensado espeso
dentado	irregular
denuncia	denunciación protesta queja
denunciación	denuncia
denunciar	delatar describir reportar señalar
departamento	agencia división sección
departamento_ejecutivo	ejecutivo
departir	conversar
dependencia	accesoria anejo anexo
depender	pasar_a
dependiente	comerciante restringido vendedor
deplorable	desolador lamentable lamentoso miserable penoso triste
deplorar	arrepentirse sentir
deportación	exilio
deportista	atleta
deportivo	bullicioso limpio
depositar	ingresar
depositaría	depósito
depre	depresión
depresivo	deprimente triste
depresión	crisis_económica depre
deprimente	depresivo desalentador desconsolado desolador lóbrego lúgubre macabro melancólico monótono negro oscuro sombrío triste
deprimido	bajo decaído desalentado
deprimir	abatir desalentar desanimar desmoralizar
depósito	almacén colca depositaría depósito_bancario despensa gambuza pañol sedimento
depósito_bancario	depósito
derecha	mano_derecha
derecho	diestro enderezado erguido recto rígido tieso
derivado	calculado
derivar	flotar obtener
derramar	derramarse desparramar desparramarse dispersar echar esparcir salpicar verter verterse
derramarse	derramar verter
derretimiento	deshielo fusión
derretir	deshacer fundir
derretirse	deshacerse desleírse diluirse
derribar	abatir caerse demoler derrocar derruir destrozar destruir romper tumbar
derribarse	arruinar derrumbarse desmoronarse
derribo	demolición derrumbamiento destrucción
derrocar	abatir caerse demoler derribar
derrochar	dilapidar disipar
derroche	extravagancia lujo profusión riqueza
derrotar	recuperarse superar vencer
derruir	demoler derribar
derrumbamiento	demolición derribo destrucción
derrumbarse	arruinar derribarse desmoronarse
desabrido	adusto agrio austero hosco lúgubre retraïdo saturnino sombrío
desabrigo	empobrecimiento inopia pobretería
desabrochar	descolgar desprender
desacierto	equivocación equívoco error
desacuerdo	división escisión ruptura
desafecto	rebelde
desafiar	afrontar
desafilado	embotado sordo
desafortunado	cuitado desdichado desgraciado desventurado infeliz infortunado lastimoso miserable mísero pobre triste
desagradable	antipático asqueroso desagradecido desapacible espantoso fastidioso feo grosero horroroso inapetitoso insultante irritante molesto ofensivo repugnante
desagradar	disgustar
desagradecido	desagradable
desagrado	antipatía grima
desaguar	desembocar drenar
desahogo	alivio descanso relajación respiro sosiego tranquilidad
desaire	corte desprecio feo menosprecio
desalentado	bajo decaído deprimido
desalentador	deprimente desconsolado desolador lóbrego lúgubre macabro melancólico monótono negro oscuro sombrío triste
desalentar	abatir deprimir desanimar desmoralizar enfriar
desaliño	abandono dejadez descuido
desalmado	cruel despiadado frío inhumano
desalojar	abandonar descargar descargarse desocupar vaciar
desamparo	abandono debilidad descuido impotencia
desanimar	abatir deprimir desalentar desmoralizar
desanudar	desligar
desapacible	antipático desagradable grosero insultante irritante molesto ofensivo
desaparecer	eludir esquivar
